model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
LinearRegression,134847.48982212914,103061.83933483034,68114.6811383435,41846.01995985012,0.9863154309974199,0.009789052600262627
RandomForest,362214.2606291656,336663.2557405833,169638.94849275367,149950.07331488104,0.9237865097587565,0.07254797713591282
GradientBoosting,378118.98969242035,299542.9518201821,174537.39737028364,127792.33329867,0.9113257003207489,0.058729284662418106
