property_id,suburb,address,property_type,sale_price,sale_date,bedrooms,bathrooms,parking_spaces,land_size_sqm,floor_area_sqm,distance_to_cbd_km,distance_to_station_km,year_built,agent_description,listing_url,data_source,notes
P004,Parramatta,"3637/180 George Street, Parramatta, NSW 2150",Apartment,623000,2026-08-12,1,1,0,,,,,,,,domain.com.au,no parking space
P005,Parramatta,"3/11 O'Reilly Street, Parramatta, NSW 2150",Apartment,657000,2026-08-11,2,2,1,,,,,,,,domain.com.au,
P006,Parramatta,"4/39 Great Western Highway, Parramatta, NSW 2150",Apartment,560000,2026-08-07,2,1,1,,,,,,,,domain.com.au,
P007,Parramatta,"1001/1A Morton Street, Parramatta, NSW 2150",Apartment,635000,2026-08-07,2,2,1,,,,,,,,domain.com.au,
P008,Parramatta,"5/13 Queens Avenue, Parramatta, NSW 2150",Apartment,435000,2026-08-07,1,1,1,,,,,,,,domain.com.au,
P009,Parramatta,"2/15-19 Early Street, Parramatta, NSW 2150",Apartment,588000,2026-08-04,2,1,1,,,,,,,,domain.com.au,
P010,Parramatta,"404/23 Hassall Street, Parramatta, NSW 2150",Apartment,680000,2026-08-04,2,2,1,,,,,,,,domain.com.au,
P011,Parramatta,"214/354-366 Church Street, Parramatta, NSW 2150",Apartment,497000,2026-08-03,1,1,0,,,,,,,,domain.com.au,no parking space
P012,Parramatta,"3001/11 Hassall St, Parramatta, NSW 2150",Apartment,740000,2026-08-02,2,2,1,,,,,,,,domain.com.au,
P013,Parramatta,"6901/1A Morton Street, Parramatta, NSW 2150",Apartment,688000,2026-07-31,2,2,1,,,,,,,,domain.com.au,
P014,Parramatta,"1/6 Sorrell St, Parramatta, NSW 2150",Apartment,805000,2026-07-31,3,2,2,,,,,,,,domain.com.au,
P015,Parramatta,"12/37 Fennell Street, Parramatta, NSW 2150",Apartment,695000,2026-07-31,3,1,1,,,,,,,,domain.com.au,
P016,Parramatta,"4/13 Henry Street, Parramatta, NSW 2150",Apartment,580000,2026-07-30,2,1,1,,,,,,,,domain.com.au,
P017,Parramatta,"1601/45 Macquarie Street, Parramatta, NSW 2150",Apartment,572000,2026-07-29,1,1,1,,,,,,,,domain.com.au,
P018,Parramatta,"907/29 Hunter Street, Parramatta, NSW 2150",Apartment,555000,2026-07-29,2,2,1,,,,,,,,domain.com.au,
P019,Parramatta,"34/105-107 Church Street, Parramatta, NSW 2150",Apartment,625000,2026-07-28,2,2,1,,,,,,,,domain.com.au,
P020,Parramatta,"3/22-24 Thomas Street, Parramatta, NSW 2150",Apartment,667000,2026-07-27,2,1,2,,,,,,,,domain.com.au,
P021,Parramatta,"28/24 Campbell Street, Parramatta, NSW 2150",Apartment,500000,2026-07-25,2,2,1,,108,,,,,,domain.com.au,
P022,Parramatta,"1330K/2 Morton Street, Parramatta, NSW 2150",Apartment,740000,2026-07-25,2,2,1,,,,,,,,domain.com.au,
P023,Parramatta,"15/7-11 Elizabeth Street, Parramatta, NSW 2150",Apartment,650000,2026-07-25,2,1,1,,,,,,,,domain.com.au,
C001,Campsie,"403/50 Charlotte Street, Campsie, NSW 2194",Apartment,752500,2026-08-13,2,2,1,,,,,,,,domain.com.au,
C002,Campsie,"8/57-59 Gould Street, Campsie, NSW 2194",Apartment,880000,2026-08-10,2,1,1,,,,,,,,domain.com.au,
C003,Campsie,"60 Duke Street, Campsie, NSW 2194",House,1235000,2026-08-08,2,1,1,316,,,,,,,domain.com.au,
C004,Campsie,"31/31-33 First Avenue, Campsie, NSW 2194",Apartment,722500,2026-08-06,2,1,1,,,,,,,,domain.com.au,
C005,Campsie,"8/5-9 Gould Street, Campsie, NSW 2194",Apartment,880000,2026-08-05,2,1,1,,,,,,,,domain.com.au,
C006,Campsie,"3/73-75 Seventh Avenue, Campsie, NSW 2194",Apartment,685000,2026-08-05,2,1,1,,,,,,,,domain.com.au,
C007,Campsie,"205/363 Beamish Street, Campsie, NSW 2194",Apartment,759000,2026-08-05,2,2,2,,,,,,,,domain.com.au,
C008,Campsie,"7/27 Dryden Street, Campsie, NSW 2194",Apartment,860000,2026-07-30,3,2,1,,135,,,,,,domain.com.au,
C009,Campsie,"12 Bexley Road, Campsie, NSW 2194",House,1340000,2026-07-23,3,2,2,422,,,,,,,domain.com.au,
C010,Campsie,"1/75-77 Claremont Street, Campsie, NSW 2194",Apartment,835000,2026-07-21,2,1,1,,,,,,,,domain.com.au,
C011,Campsie,"G03/32 Loftus Street, Campsie, NSW 2194",Apartment,595000,2026-07-17,1,1,1,,,,,,,,domain.com.au,
C012,Campsie,"3/42 Third Avenue, Campsie, NSW 2194",Apartment,702000,2026-07-15,2,1,1,,,,,,,,domain.com.au,
C013,Campsie,"106/538-546 Canterbury Road, Campsie, NSW 2194",Apartment,630000,2026-07-14,2,2,1,,,,,,,,domain.com.au,
C014,Campsie,"11/36 Beamish Street, Campsie, NSW 2194",Apartment,620000,2026-07-13,2,1,1,,,,,,,,domain.com.au,
C015,Campsie,"6/67C Second Avenue, Campsie, NSW 2194",Apartment,915000,2026-07-11,2,2,1,,,,,,,,domain.com.au,
C016,Campsie,"5/4-8 Third Avenue, Campsie, NSW 2194",Townhouse,960000,2026-07-10,2,1,1,,,,,,,,domain.com.au,
C017,Campsie,"5/87 Evaline Street, Campsie, NSW 2194",Apartment,645000,2026-07-09,2,1,1,,,,,,,,domain.com.au,
C018,Campsie,"6/31 Fourth Avenue, Campsie, NSW 2194",Apartment,665000,2026-07-08,2,1,1,,,,,,,,domain.com.au,
C019,Campsie,"4/136 Evaline Street, Campsie, NSW 2194",Apartment,815000,2026-07-07,2,1,2,,,,,,,,domain.com.au,
C020,Campsie,"4/518 Canterbury Road, Campsie, NSW 2194",Apartment,650000,2026-07-06,2,2,1,,106,,,,,,domain.com.au,
C021,Campsie,"7/27 Third Avenue, Campsie, NSW 2194",Apartment,615000,2026-07-03,2,1,1,,,,,,,,domain.com.au,
C022,Campsie,"19/31-33 First Ave, Campsie, NSW 2194",Apartment,700000,2026-07-02,2,1,1,,93,,,,,,domain.com.au,
C023,Campsie,"4/13 Unara Street, Campsie, NSW 2194",Apartment,570000,2026-07-01,2,1,1,,,,,,,,domain.com.au,
C024,Campsie,"1/76 Amy Street, Campsie, NSW 2194",Apartment,623000,2026-06-30,2,1,1,,,,,,,,domain.com.au,
C025,Campsie,"112 Ninth Avenue, Campsie, NSW 2194",House,1360000,2026-06-27,3,1,2,,,,,,,,domain.com.au,land size not listed
C026,Campsie,"3/94 Evaline Street, Campsie, NSW 2194",Villa,780000,2026-06-24,2,1,2,,124,,,,,,domain.com.au,
C027,Campsie,"5/76 Clissold Parade, Campsie, NSW 2194",Townhouse,880000,2026-06-23,2,2,1,,,,,,,,domain.com.au,
C028,Campsie,"303/1 Victa Street, Campsie, NSW 2194",Apartment,720000,2026-06-23,2,2,1,,,,,,,,domain.com.au,
C029,Campsie,"7/93-95 Clissold Parade, Campsie, NSW 2194",Townhouse,1205000,2026-06-20,3,1,1,,,,,,,,domain.com.au,
P024,Parramatta,"2102/12 Phillip Street, Parramatta, NSW 2150",Apartment,780000,2026-07-15,2,1,1,,,,,,,,domain.com.au,
P025,Parramatta,"37A Sutherland Road, Parramatta, NSW 2150",Block of units,3425000,2026-07-15,12,6,6,903,,,,,,,domain.com.au,"Whole apartment block sold as one investment property, not a single residence - likely extreme outlier, consider excluding in Part 2 EDA"
P030,Parramatta,"6/50 Morton Street, Parramatta, NSW 2150",Villa,850000,2026-07-07,2,2,1,,,,,,,,domain.com.au,
P031,Parramatta,"11/14-16 Lennox Street, Parramatta, NSW 2150",Apartment,505111,2026-07-07,2,1,1,,87,,,,,,domain.com.au,
